"Step","vit-cifar10-baseline-val_loss"
0,1.9167324304580688
2,1.6494004726409912
3,1.3617969751358032
5,1.3143889904022217
6,1.162824273109436
8,1.2943651676177979
9,1.1850810050964355
11,1.265390157699585
12,1.0406461954116821
14,1.200691819190979
15,1.064362645149231
17,0.9865207672119141
18,0.9597877860069275
20,0.9110085964202881
21,0.9415442943572998
23,1.0479542016983032
24,0.8003154397010803
26,0.7860724329948425
27,0.9120206236839294
29,0.8735969662666321
30,0.74799644947052
32,0.720042884349823
33,0.6911290287971497
35,0.7864829897880554
36,0.9242996573448181
38,0.875697672367096
39,0.7777819037437439
41,0.7478300929069519
42,0.8441334366798401
44,0.7283692359924316
45,0.5581023693084717
47,0.7036054730415344
48,0.6394228935241699
50,0.6408159732818604
51,0.6264374256134033
53,0.6449794173240662
54,0.6245105862617493
56,0.6485352516174316
57,0.570991575717926
59,0.6509789228439331
60,0.5905556678771973
62,0.5630543828010559
63,0.488373339176178
65,0.6255611777305603
66,0.5121023654937744
68,0.48105674982070923
69,0.5818008780479431
71,0.5613094568252563
72,0.42843097448349
74,0.5417517423629761
76,0.49400120973587036
77,0.6178679466247559
79,0.41806143522262573
80,0.517955482006073
82,0.4838255047798157
83,0.4857277274131775
85,0.4608932137489319
86,0.46822577714920044
88,0.48737993836402893
89,0.4402589201927185
91,0.37543192505836487
92,0.39496007561683655
94,0.5104259848594666
95,0.42791688442230225
97,0.3523043394088745
98,0.4116244614124298
100,0.3730636537075043
101,0.39070144295692444
103,0.30349200963974
104,0.3798620104789734
106,0.4186657965183258
107,0.3184107840061188
109,0.3331494629383087
110,0.3185868263244629
112,0.38039785623550415
113,0.3178127110004425
115,0.23675115406513214
116,0.33901581168174744
118,0.2661532759666443
119,0.36609429121017456
121,0.29561418294906616
122,0.2916964292526245
124,0.271778404712677
125,0.33077916502952576
127,0.3032308518886566
128,0.31269606947898865
130,0.31039461493492126
131,0.2985649108886719
133,0.17968177795410156
134,0.24706906080245972
136,0.23880881071090698
137,0.21186408400535583
139,0.2770058810710907
140,0.2871113717556
142,0.3079999089241028
143,0.19887176156044006
145,0.24780233204364777
146,0.25366950035095215
148,0.20460939407348633
150,0.21239830553531647
151,0.20028270781040192
153,0.1490509808063507
154,0.18386134505271912
156,0.17874252796173096
157,0.3055883049964905
159,0.15130236744880676
160,0.2697744071483612
162,0.14230306446552277
163,0.15642155706882477
165,0.1489415466785431
166,0.2841097414493561
168,0.18062430620193481
169,0.19042250514030457
171,0.24298322200775146
172,0.16013535857200623
174,0.1382315307855606
175,0.13414093852043152
177,0.21625876426696777
178,0.17034657299518585
180,0.19599224627017975
181,0.14342914521694183
